Email;Address;Avatar;Avg. Session Length;Time on App;Time on Website;Length of Membership;Yearly Amount Spent
South Kristaview;" DC 49423-2452""";ForestGreen;3.370.160.519.868.880;11.564.022.368.065.500;37.673.210.365.648.600;4.716.104.987.209.570;5.768.025.473.995.870
scastillo@hotmail.com;0922 Gutierrez Loaf;;;;;;
Wattsbury;" OH 96315""";Moccasin;3.326.833.021.768.790;11.113.329.897.404.300;37.387.945.542.635.500;4.018.726.609.737.510;514.239.520.718.957
joshua56@garcia.com;38154 Davis Locks;;;;;;
Lake Stevenfort;" KY 86814-9222""";Indigo;31.358.477.192.437.000;12.809.883.473.378.100;365.496.679.900.966;36.377.012.795.158.300;49.517.595.044.947.500
richard81@day.org;7955 Samantha Walk Suite 230;;;;;;
North Luis;" IL 44629""";SlateBlue;3.301.479.221.522.830;1.176.117.232.548.310;3.757.016.384.471.310;3.834.169.666.632.590;5.143.365.582.674.000
jessica97@hotmail.com;32202 Curtis Branch Apt. 411;;;;;;
Port Brettmouth;" KY 01192-0594""";Cyan;3.157.613.197.132.220;1.257.989.417.361.800;3.709.326.487.011.030;45.319.866.066.666.300;5.412.265.839.893.280
angelaphillips@gmail.com;102 Karen Court;;;;;;
New Jameston;" SC 57761-6570""";MintCream;32.657.268.594.778.100;11.957.923.064.554.100;3.663.465.232.853.770;4.106.055.151.602.650;5.168.315.566.841.780
donald67@harrison.com;9759 Tammy Skyway Apt. 171;;;;;;
Lake Debra;" AS 95011""";Lime;34.709.323.296.131.500;10.651.793.783.474.100;3.714.600.652.898.040;32.182.653.850.978.500;4.684.457.372.274.060
zmalone@yahoo.com;PSC 6717, Box 7673;;;;;;
"APO AE 66950-0088""";Moccasin;345.366.591.798.774;1.275.207.661.096.460;3.671.413.783.923.340;32.836.634.554.040.100;5.482.803.201.983.360;
rlindsey@norris.com;581 Smith Prairie Suite 995;;;;;;
Andersontown;" AS 58802""";Green;32.771.715.009.701;11.540.832.436.151.000;37.526.421.027.792.400;2.924.020.724.598.200;4.316.177.337.614.290
lewisgabrielle@hotmail.com;422 Rivers Springs Suite 221;;;;;;
North Barbara;" WI 51990-7596""";LightSkyBlue;33.700.400.456.822.400;11.924.394.923.280.000;37.245.032.469.967.500;39.052.503.089.821.300;5.529.403.454.501.050
kristina69@gmail.com;2859 Rodriguez Forks;;;;;;
Port Josephtown;" OH 13591-3011""";BlueViolet;3.243.977.025.334.840;124.241.304.114.395;3.894.882.502.753.230;49.203.184.061.183.100;5.733.062.222.574.560
krista86@norton.net;0537 Rice Village;;;;;;
West Kylieberg;" NJ 19433-5090""";Azure;34.312.166.997.407.800;11.810.586.764.578.100;3.741.413.357.473.930;2.473.596.120.847.850;452.627.254.995.083
chelsea05@hansen.com;7182 Stephen Fork Suite 150;;;;;;
Port Laurachester;" CO 99974-1961""";LightGray;3.245.517.628.513.710;12.759.168.978.762.000;36.599.112.354.294.300;4.131.276.648.377.650;5.427.115.581.025.770
jill33@allen.com;459 Amy Burg;;;;;;
Lake Travis;" OR 53314""";DarkCyan;33.540.976.791.782.200;11.851.890.834.942.700;37.424.547.922.263.900;17.677.307.075.942.400;4.078.040.306.356.820
welchashlee@hotmail.com;PSC 8159, Box 3254;;;;;;
"APO AP 71071-4890""";GreenYellow;33.358.398.281.424.200;1.270.368.792.886.870;3.610.091.445.210.860;272.410.820.200.549;4.823.535.703.213.530;
dawnlewis@watkins.org;623 Erica Flat;;;;;;
Lake Josephland;" MT 73514""";Crimson;32.686.129.256.115.100;12.215.252.424.902.400;3.659.436.168.489.150;38.971.158.599.572.500;5.292.300.901.235.090
ashleychristopher@gmail.com;9271 Christopher Prairie;;;;;;
Douglasshire;" NM 18581""";MediumOrchid;34.558.294.609.144.400;1.128.144.500.356.710;364.944.064.828.881;2.491.671.541.288.350;43.304.876.909.582.600
acontreras@hotmail.com;88995 Edwards Row Suite 456;;;;;;
North Jo;" DE 02062-7953""";Sienna;335.477.479.443.078;10.735.362.917.985.000;3.745.837.473.122.320;38.634.254.422.050.300;4.761.914.133.494.550
alvaradoadam@jones-thompson.com;35970 Holly Key;;;;;;
Port Frank;" VT 78059-9385""";Aquamarine;31.954.903.856.634.800;10.963.131.776.054.800;37.327.282.689.879.400;35.786.339.003.939.800;439.997.879.939.927
thomasgeorge@gonzalez-grant.com;93306 Donald Greens;;;;;;
New Christopherbury;" SC 59447""";FloralWhite;31.066.218.161.637.500;11.735.094.549.013.700;3.659.937.399.114.720;39.588.922.643.660.900;4.489.332.932.076.740
solischristina@gmail.com;43102 Russo View Suite 717;;;;;;
Hollyport;" SC 15344""";SlateBlue;31.851.253.128.608.300;12.418.961.981.005.000;3.597.765.170.714.360;32.517.417.703.068.800;47.299.224.666.679.800
jacksonboone@rubio.com;973 Marc Ports;;;;;;
Brownstad;" IN 48786-6700""";Sienna;32.609.282.635.640.400;10.537.307.537.840.800;3.573.055.240.228.650;3.914.384.667.246.390;46.392.351.299.032.500
kaitlyn78@chang.com;978 Bean Square;;;;;;
Deanburgh;" OR 95149""";LimeGreen;3.211.511.906.601.420;11.919.242.397.939.100;3.929.404.346.247.570;14.435.150.746.515.400;3.500.582.001.638.450
francisgeorge@thomas.org;27563 Vincent Lake;;;;;;
Allenchester;" DC 22159""";Teal;33.924.624.809.512.000;11.911.415.556.879.800;3.827.470.219.571.760;29.100.379.165.410.600;4.600.612.773.912.430
linda90@yoder.org;979 Alison Motorway Apt. 676;;;;;;
North Frank;" HI 55870-2651""";WhiteSmoke;33.477.190.403.003.300;1.248.806.700.205.300;3.651.838.358.912.680;33.455.709.758.422.400;5.057.711.403.229.560
david79@lopez-montes.com;969 William Manor;;;;;;
West Sherry;" MA 66282-2258""";Purple;32.116.400.120.928.100;12.380.694.979.552.900;3.723.200.330.765.400;30.895.277.822.700.000;463.484.995.404.266
micheleblanchard@lopez-greene.com;555 Hunt Track Suite 307;;;;;;
South Kristi;" PA 73709""";SlateGray;3.225.590.120.444.970;10.480.506.832.694.400;3.733.866.962.178.540;4.514.122.441.132.630;47.973.193.764.530.400
pmercado@rodriguez.com;811 Maria Run;;;;;;
Sanchezville;" MI 04953""";LightPink;3.269.239.221.858.060;12.296.517.680.733.700;3.695.155.521.050.130;18.258.846.690.261.400;42.418.549.428.888.600
james30@carter.biz;3604 Richard Junctions Suite 448;;;;;;
Brownburgh;" CO 64856-8238""";LimeGreen;3.238.473.265.900.510;1.086.160.419.912.890;36.584.437.621.758.100;3.993.656.512.525.080;4.658.893.127.108.660
parkerkayla@miles.com;170 Andrew Mews;;;;;;
North Susan;" NM 85338-2426""";DarkSlateBlue;34.338.729.385.091.700;10.716.355.140.061.500;383.072.040.068.692;2.652.158.304.851.240;4.267.752.159.856.600
alicia85@lee.com;14220 Carla Flat Suite 521;;;;;;
Lake Matthew;" DE 06183""";DimGray;3.288.710.464.561.530;12.387.184.173.554.800;37.431.159.098.326.100;6.401.228.837.806.770;6.841.634.310.159.510
dominguezjacob@hotmail.com;8594 Erica Manors Apt. 529;;;;;;
Lake Miguel;" MH 10652-9266""";CornflowerBlue;3.251.021.799.444.430;10.984.835.888.186.100;37.396.497.475.332.000;5.391.275.125.020.630;5.558.925.953.881.730
ebrown@osborne.com;4291 Nichols Fork Apt. 562;;;;;;
Thomaschester;" SC 08938-8769""";DarkSlateGray;31.945.395.748.344.500;12.965.761.479.512.200;3.696.638.889.642.570;6.076.653.638.440.140;657.019.923.937.652
nathan86@hotmail.com;748 Michael Plaza;;;;;;
West Billyside;" UT 20799""";MidnightBlue;3.613.966.248.879.050;12.050.267.234.380.500;3.695.964.319.393.410;38.648.607.392.342.700;5.958.038.188.761.140
aaron11@luna.com;672 Jesus Roads Apt. 443;;;;;;
Thompsonland;" WY 69228""";LightSkyBlue;3.244.952.156.114.240;1.345.772.494.051.230;3.723.880.567.308.960;2.941.410.754.428.090;5.039.783.790.525.790
fsnow@ellis.com;0272 Jones Way;;;;;;
Lake Angela;" MP 97003-5793""";MediumBlue;3.229.464.154.956.500;1.244.304.789.043.980;37.327.848.037.843.700;5.084.861.308.602.480;5.861.558.701.804.720
asilva@yahoo.com;USNV Johnson;;;;;;
"FPO AP 19026""";Wheat;3.460.331.111.938.740;12.207.298.491.050.700;3.391.384.724.758.460;6.922.689.335.035.800;7.442.218.671.047.140;
casey21@johnson.com;691 Johnson Field Apt. 510;;;;;;
Michaelville;" VI 78140""";SpringGreen;335.985.203.185.533;11.586.319.529.181.200;3.909.462.702.670.510;36.043.985.602.569.400;5.128.253.581.285.200
campbellross@yahoo.com;6218 Michael Station Apt. 982;;;;;;
Salazarburgh;" NJ 79955""";DarkRed;3.456.868.084.571.510;11.378.087.087.773.300;38.304.471.191.707.700;37.849.321.101.304.000;5.282.238.093.680.070
blevinseric@stephens.com;PSC 3676, Box 1549;;;;;;
"APO AE 26130-7683""";Orange;3.283.810.016.055.470;12.364.341.604.455.100;3.803.910.938.707.490;33.091.823.280.429.700;4.689.135.013.219.840;
stevenking@patterson.com;94730 Martin Mount;;;;;;
New Matthew;" VI 08142-6708""";LightGray;3.350.370.517.913.950;12.399.436.075.147.000;3.501.280.603.355.900;0.9686221157417689;35.759.143.941.508.600
samuel94@hotmail.com;5480 Vazquez Crossing Suite 825;;;;;;
East Christopherland;" PA 42104""";DarkViolet;3.330.188.161.463.880;12.542.481.050.786.300;3.831.136.489.758.180;3.768.561.962.709.890;5.364.231.045.259.340
johnsonpaul@keller-woodard.org;USCGC Dodson;;;;;;
"FPO AA 87781-3935""";LimeGreen;30.879.484.344.127.400;13.280.432.242.922.100;3.693.615.937.845.670;3.585.160.635.161.340;4.902.065.999.848.540;
twilliams@gibbs.net;Unit 6678 Box 6628;;;;;;
"DPO AP 44369""";CadetBlue;3.315.425.475.700.070;11.795.886.676.889.100;3.765.861.690.944.280;4.520.353.377.496.550;5.500.475.805.761.630;
teresapacheco@salinas.biz;75805 Larry Mills;;;;;;
East Cristian;" MH 53820""";DarkMagenta;3.204.780.097.886.780;12.718.039.174.525.600;3.766.110.668.399.280;36.758.488.000.184.400;5.134.505.711.860.960
allison80@carson-hansen.com;04311 Oconnor Park Apt. 415;;;;;;
Kelleystad;" ND 63064-8935""";ForestGreen;3.363.080.076.787.100;12.039.647.840.787.200;389.240.870.506.292;2.873.007.508.505.150;49.781.193.000.552.000
turnerryan@hotmail.com;770 Lewis Pike Apt. 869;;;;;;
Phelpsport;" PA 93969-4887""";LightSkyBlue;3.404.663.802.802.120;12.474.455.453.922.800;35.037.856.159.447.500;4.055.775.961.742.950;5.789.862.585.804.890
walkererica@scott.com;86536 Barnes Track;;;;;;
South Kyle;" MT 21570-5606""";MediumAquaMarine;33.644.177.000.440.500;13.160.020.040.286.000;364.077.474.507.818;30.151.752.987.437.000;5.065.363.931.400.860
mark94@yahoo.com;586 Timothy Union Suite 592;;;;;;
East Joseph;" MO 81374""";Salmon;3.265.462.160.732.380;11.052.323.653.306.600;37.633.009.416.643.600;4.717.102.512.825.830;50.174.923.330.839.200
daniellecuevas@hotmail.com;9287 Daniel Rest Apt. 608;;;;;;
Allentown;" SD 73050""";LavenderBlush;3.342.874.704.259.600;10.636.761.083.696.500;3.757.883.524.203.310;29.263.964.487.266.800;42.196.679.418.586.700
gbarnes@gmail.com;8667 Suzanne Motorway Suite 241;;;;;;
Spencechester;" KY 74385-4618""";Green;3.186.483.254.809.870;1.344.340.598.514.620;3.687.831.536.782.340;2.361.086.946.869.880;4.398.912.804.768.130
cody68@hotmail.com;374 Dana Junctions;;;;;;
Langside;" WI 36474""";SpringGreen;3.448.238.804.881.120;1.328.303.286.832.560;3.590.729.842.685.240;4.968.742.673.728.140;666.125.591.725.772
fischermonica@gmail.com;9847 Michael Plaza Suite 837;;;;;;
Lake Christophershire;" NV 87324-8427""";Navy;32.529.768.731.474.400;11.747.731.701.242.100;3.693.988.205.032.050;0.8015157200042076;29.876.200.786.180.700
brenda25@gmail.com;353 Jones Loaf Apt. 767;;;;;;
South Michaelburgh;" PR 16281-4840""";OliveDrab;33.432.231.396.262.700;10.859.608.533.152.700;3.883.567.008.085.340;36.692.256.113.154.400;4.651.766.233.052.960
david58@yahoo.com;6058 Thomas Divide;;;;;;
Matthewland;" PA 89442-8198""";LightSalmon;3.330.857.161.628.050;11.691.686.125.826.300;37.480.911.976.267.000;17.157.771.665.531.100;3.738.857.236.969.500
clifford76@johnson.com;8032 Hodge Circle Apt. 255;;;;;;
Lake Jessicashire;" OR 54914""";RosyBrown;3.233.263.706.834.170;11.548.761.439.776.700;3.857.651.554.990.160;4.773.503.047.345.890;5.327.174.856.761.740
jacquelinehughes@bennett-branch.info;601 Ashley Loop Suite 162;;;;;;
Port Benjaminview;" DE 02456""";DeepPink;3.471.345.123.397.020;1.172.400.223.179.120;3.681.385.766.052.370;40.878.372.729.217.000;5.549.007.830.202.700
victoria53@hotmail.com;16329 Sara Neck Apt. 463;;;;;;
Bryanside;" TX 62329""";Pink;32.635.877.998.189.900;12.178.573.080.885.800;356.742.560.274.292;4.131.755.039.569.860;5.377.731.625.414.560
cunninghamkyle@ellis-parker.org;449 Williamson Lakes Apt. 118;;;;;;
Travisville;" AK 06848-0177""";LightGreen;3.307.570.303.157.220;12.319.845.062.066.600;3.781.915.511.227.680;34.427.992.020.016.800;501.100.245.232.053
jjones@yahoo.com;047 Carla Locks;;;;;;
Coreymouth;" AR 98066""";GreenYellow;3.223.014.911.593.310;11.084.360.836.740.500;379.596.843.202.141;4.724.027.439.824.310;5.171.651.355.939.770
michaelferguson@torres-miles.net;757 Amber Gateway Apt. 787;;;;;;
New Stephaniechester;" OR 61576-6056""";Sienna;34.142.863.372.870.700;13.177.774.533.773.800;38.856.041.708.111.900;32.309.738.432.875.500;5.575.292.736.134.530
crawforderik@price.org;5183 Michael Ramp;;;;;;
East Lukeburgh;" FL 93972""";DarkKhaki;324.971.984.614.607;12.832.802.836.968.100;3.767.924.462.448.070;2.972.271.382.079.820;493.719.192.978.176
jlawson@mccarthy.com;0127 Morgan Fields Apt. 080;;;;;;
Thompsonfurt;" ME 01160-7043""";LightGray;3.312.239.998.431.690;11.509.047.996.817.100;3.725.305.774.145.060;3.182.329.731.786.810;45.212.262.508.578.400
marshchristopher@zimmerman-villegas.com;667 Stephanie Lake Apt. 658;;;;;;
Marthashire;" NC 11815-2307""";DarkRed;33.088.529.366.211.500;1.185.766.344.472.500;360.869.343.253.416;4.806.349.618.785.280;5.772.734.549.822.930
oolson@collins.com;07867 Horn Lake;;;;;;
West Teresatown;" VT 64387-1228""";Aqua;3.253.379.686.092.210;12.293.365.838.346.600;3.706.462.119.956.540;36.203.649.883.552.000;48.592.313.052.485.100
isaiahcampbell@yahoo.com;55414 Ramirez Union Apt. 614;;;;;;
West Crystal;" CA 03845-2631""";Red;3.248.426.048.276.210;1.093.325.227.854.700;3.654.550.622.682.930;32.613.247.447.870.900;4.257.450.920.310.520
kcannon@alvarez-cline.info;55479 Peters Field Apt. 702;;;;;;
North Micheleberg;" PR 45063""";Lavender;325.434.591.695.977;13.332.839.284.456.300;37.964.390.331.775.800;3.597.459.968.849.920;5.372.150.526.997.320
nielsencarmen@harrell.net;2491 Yates Crest Suite 316;;;;;;
Connieville;" FL 92080-0819""";DeepPink;3.228.312.306.113.330;10.902.556.227.019.700;36.094.241.952.849.400;4.789.201.624.179.890;5.246.379.646.141.040
efreeman@moore.com;223 Powell Ridges;;;;;;
East Richardtown;" RI 90715-2178""";White;32.200.798.643.965.300;12.276.981.712.741.900;3.823.260.622.710.400;33.164.647.447.029.100;4.788.853.913.201.480
roblessarah@hotmail.com;022 Taylor Mews Suite 692;;;;;;
Hallberg;" NJ 53614""";MediumSeaGreen;3.471.331.650.656.190;12.038.808.239.866.500;3.763.529.940.965.420;4.632.460.945.972.200;6.123.852.298.963.600
christopherhaas@gmail.com;56674 Melanie Flats;;;;;;
Schneiderberg;" IN 66532""";MediumPurple;3.271.251.232.693.560;11.724.473.856.834.600;3.715.315.160.406.010;3.308.443.000.674.600;4.767.667.241.547.630
ethomas@yahoo.com;1279 Douglas Mountains;;;;;;
Port Christopherberg;" RI 32811-8325""";LightGreen;3.369.489.765.096.740;11.202.669.899.735.500;3.549.396.408.005.120;4.015.986.640.445.780;5.051.196.375.282.030
wevans@gmail.com;222 Jason Park;;;;;;
Dominguezshire;" NC 98241""";Tan;3.157.020.082.932.020;13.378.063.328.893.600;3.633.780.003.116.470;4.369.366.793.790.980;5.459.454.921.414.040
patrickorr@yahoo.com;6009 Heather Park;;;;;;
Howardhaven;" SD 51705-2993""";LawnGreen;3.345.947.684.896.430;11.388.612.618.641.000;3.790.913.871.755.980;256.663.984.381.683;4.340.216.997.527.180
mary84@edwards.com;19123 Craig Isle Apt. 719;;;;;;
Millsmouth;" SC 94194""";LightSkyBlue;31.820.998.201.672.000;10.771.074.062.599.500;37.278.639.793.707.600;35.190.324.339.539.200;4.246.752.810.132.130
longwilliam@gmail.com;16068 Kelly Parks;;;;;;
Wrightside;" NH 21447""";BurlyWood;3.273.322.416.398.150;11.818.571.762.285;371.020.313.268.591;15.038.544.212.252.900;3.525.501.081.630.000
lisagutierrez@johnson-herring.net;89300 Amber Centers Apt. 879;;;;;;
Victoriaton;" VT 98394""";Peru;3.240.714.829.999.660;13.808.798.675.105.900;3.742.676.891.745.390;5.039.955.263.662.920;6.629.610.878.058.950
david81@hotmail.com;1576 Lane Shoal;;;;;;
Rogerton;" PR 63867-3426""";Thistle;33.506.092.281.309.300;11.659.832.840.871.400;3.728.139.282.998.590;44.787.126.084.630.100;5.605.601.606.242.600
jacksonking@mccormick.com;120 Micheal Fort Apt. 762;;;;;;
East Patrickbury;" WY 65946""";DarkMagenta;30.836.432.674.773.400;13.100.109.538.542.800;3.590.772.142.967.960;33.616.129.845.381.900;4.675.019.004.269.890
jessica04@christian-riley.com;338 Graham Loaf Suite 236;;;;;;
East Toddton;" FM 43566-4238""";LemonChiffon;3.487.849.495.417.020;13.067.895.684.999.500;3.667.822.227.440.390;19.207.154.781.756.400;5.048.704.323.933.720
simmonsmartin@hardy.com;2302 Joshua Park;;;;;;
Millerbury;" WA 30239-8144""";MediumVioletRed;34.007.211.972.221.600;1.249.432.293.326.930;36.045.459.420.486.100;4.330.714.461.860.560;59.056.271.964.715
michellejohnson@sanders-rodriguez.com;70562 Gonzalez Stravenue;;;;;;
Elizabethland;" WI 40700-9149""";Teal;31.525.752.416.968.200;11.340.035.931.978.800;3.703.951.365.322.450;38.112.481.708.072.300;4.439.656.268.098.810
tylerhernandez@barton.info;7613 Miguel Knoll Suite 762;;;;;;
West Katherine;" WV 19406""";SlateGray;31.047.222.139.487.500;11.199.660.962.300.400;3.868.870.909.942.430;30.887.639.575.315.700;3.924.973.991.890.210
connerjoseph@gmail.com;981 David Square;;;;;;
New Jacquelinetown;" AK 66018-4092""";Turquoise;3.459.577.669.439.260;11.332.487.778.094.100;3.545.986.279.714.470;4.541.695.256.706.060;5.687.175.759.305.220
jeffrey54@mcdonald-williams.com;297 Francis Valley;;;;;;
South Lindsey;" NY 13669-5367""";Gainsboro;3.496.760.988.717.720;13.919.494.396.088.100;37.952.013.186.883.000;5.066.696.864.020.980;7.123.963.268.096.630
hevans@kelly-nunez.org;Unit 4065 Box 2267;;;;;;
"DPO AE 69180-7372""";Orchid;3.229.524.762.622.040;1.103.135.834.040.910;38.252.978.273.334.600;31.074.686.827.074.600;41.329.599.918.102.900;
lewiskendra@yahoo.com;988 Matthew Plaza;;;;;;
Lake Jacobshire;" AL 37889""";Yellow;33.324.240.521.849.600;11.084.584.086.421.800;3.677.601.657.686.870;474.698.970.293.514;5.620.820.453.929.380
freemantina@cannon.org;870 Dennis Throughway;;;;;;
Wilsonport;" PW 12658""";AntiqueWhite;32.903.454.333.014.200;1.054.264.542.398.310;3.553.386.350.026.300;30.918.268.695.457.800;412.012.931.298.847
wagnerbrian@hotmail.com;50593 Wells Roads Apt. 110;;;;;;
South Amy;" MI 06969-2026""";AliceBlue;3.255.949.313.011.330;11.797.795.514.880.200;37.777.365.796.776.400;31.956.257.763.719.800;4.686.684.655.991.270
melissa08@nelson.com;15863 Harrington Glens Suite 012;;;;;;
Marystad;" LA 50652-8210""";Tomato;31.765.618.821.042.400;12.442.616.548.294.600;3.813.171.202.563.640;38.502.796.390.964.200;49.655.408.163.560.700
karina59@gmail.com;9580 Clark Trail Suite 687;;;;;;
Williamsside;" FM 57367""";PapayaWhip;3.408.164.619.679.610;12.104.542.428.062.600;3.605.964.597.986.490;3.974.522.480.483.520;5.485.185.292.758.060
baldwinbryan@estrada-silva.biz;1470 Kathleen Pass;;;;;;
South Christopherberg;" SD 22850""";MediumSeaGreen;33.304.431.285.296.000;12.378.490.222.808.600;3.876.429.717.446.250;38.438.489.214.952.800;5.361.308.968.550.210
audreyguerrero@carey.com;1995 Susan Locks Suite 760;;;;;;
East Cheryl;" AR 37103-5176""";BlueViolet;3.433.075.044.367.840;13.722.453.676.229.900;35.773.116.391.246.800;2.909.008.460.485.070;5.584.272.571.753.230
drew29@hotmail.com;20888 Erin Via;;;;;;
Grahamville;" NH 72913-6101""";Tomato;3.207.894.757.956.930;12.725.909.323.593.900;3.654.466.409.871.870;11.390.935.384.245.700;3.578.637.186.383.910
michael00@yahoo.com;03065 Henry Courts Suite 443;;;;;;
Derekstad;" VT 88473""";DarkSlateGray;3.360.579.899.891.230;1.368.511.889.962.350;3.489.198.326.749.100;26.852.848.361.090.700;5.290.566.631.985.300
jgray@khan-allen.com;1416 Rachel Crescent;;;;;;
West Laurieside;" IL 81119-7229""";Gold;3.274.515.048.083.570;10.012.583.366.223.000;3.835.495.987.026.440;3.108.911.449.181.270;38.735.707.273.642.100
bushsusan@hotmail.com;20618 David Square;;;;;;
Gayland;" HI 78719-9628""";Moccasin;3.212.236.479.579.770;11.435.533.874.300.300;3.622.355.746.230.220;4.852.842.407.156.430;5.289.336.185.650.200
charris@gmail.com;2781 Matthew Wells Apt. 569;;;;;;
Potterview;" KS 50763-8282""";MediumSeaGreen;3.253.082.944.110.280;12.354.607.081.759.800;3.712.234.520.816.760;230.755.242.118.396;42.091.615.953.269.200
longphillip@yahoo.com;13044 Woods Heights;;;;;;
Andreamouth;" ND 52317-6007""";LightGreen;31.736.635.686.050.200;10.748.533.655.415.700;3.573.870.747.121.450;483.552.866.742.221;49.693.344.625.553.100
madisonalexander@gmail.com;791 Allen Trafficway Suite 776;;;;;;
Christopherland;" DC 41460""";Orange;3.411.756.669.418.930;11.591.871.665.122.200;37.743.619.699.549.800;36.785.893.989.539.900;519.372.976.801.355
mfoster@brown-white.com;36192 Ho Spring;;;;;;
New Michael;" RI 65851-6369""";Cyan;3.363.662.445.812.830;11.236.506.758.754.000;3.767.502.073.290.800;5.254.708.925.941.110;5.914.377.355.684.500
sanchezkara@hotmail.com;40494 Robert Park;;;;;;
Heatherside;" IL 70364""";SlateBlue;3.433.486.453.305.800;11.109.456.333.168.400;38.585.854.757.332.600;38.928.914.802.112.500;50.240.978.530.290.500
floresbradley@hotmail.com;446 Daniel Rest Suite 644;;;;;;
Port Matthewhaven;" MN 89465""";BlanchedAlmond;34.814.983.943.728.800;12.114.944.955.194.900;3.628.872.395.038.680;4.389.455.226.416.510;6.043.348.400.688.550
lamryan@curtis-garcia.net;96393 Joshua Rapids;;;;;;
Jonesview;" VA 58733""";LavenderBlush;34.642.669.758.092.200;11.866.481.205.181.700;3.771.777.057.005.860;4.003.325.039.023.280;555.068.394.054.576
alexandra26@summers-davis.com;Unit 7032 Box 7016;;;;;;
"DPO AE 44749-2992""";Navy;3.283.694.076.702.130;1.025.654.903.128.790;3.614.390.845.634.160;0.7895199078816915;25.667.058.229.005.500;
ocortez@gmail.com;4800 Ashley Spur Apt. 347;;;;;;
Dannyfort;" GA 23352""";MediumBlue;3.229.964.716.350.490;12.168.596.472.860.500;37.073.616.172.195.600;4.403.369.830.866.460;5.471.109.823.629.460
melinda39@morton.info;13693 Cox Falls Apt. 693;;;;;;
Padillaview;" PW 28998-0386""";Moccasin;31.948.017.421.161.300;13.085.356.892.368.700;3.760.565.280.041.320;26.485.967.702.033.100;46.192.087.689.289.700
lisa94@jackson.com;40288 Stephens Corner Apt. 221;;;;;;
West Stephanie;" OK 55617-4332""";CadetBlue;3.272.731.919.612.470;13.013.375.627.349.600;3.665.127.791.701.510;2.367.848.224.385.220;4.583.769.106.506.300
lucastaylor@yahoo.com;63872 Chavez Lodge;;;;;;
Danielton;" NJ 85847""";MediumTurquoise;3.394.624.061.993.660;109.839.767.277.944;379.514.894.585.739;30.507.129.732.180.100;4.362.834.981.467.510
apark@walsh-obrien.net;28942 Bradford Crescent;;;;;;
New Morganfurt;" MD 77162-0478""";DarkGreen;3.235.147.815.076.600;13.105.158.522.307.200;3.557.484.166.706.170;36.414.971.615.400.800;5.329.352.188.376.630
dominguezmaria@gmail.com;1768 Rosales Ford Apt. 793;;;;;;
Lake Markbury;" SC 31567""";RoyalBlue;34.173.752.023.676.500;12.144.748.536.704.800;3.725.803.145.871.120;3.397.363.092.819.070;5.125.525.343.564.010
jimmy11@hardin.com;496 Bush Turnpike Apt. 674;;;;;;
Donnabury;" OR 32596-0079""";DarkGoldenRod;3.297.518.182.625.780;1.390.991.551.102.900;3.779.223.754.313.020;4.297.686.524.285.510;6.304.227.632.299.230
patriciajackson@jenkins.info;981 Matthew Valley Apt. 621;;;;;;
Lake Tracyburgh;" NM 33288-1364""";Thistle;3.200.475.302.036.480;11.395.209.434.440.800;3.733.281.445.580.520;3.803.364.999.065.170;46.374.598.112.062.900
rayvanessa@fischer.com;2583 Mark Springs;;;;;;
Lake Robert;" AL 40928""";White;3.419.705.969.450.860;13.033.566.182.687.100;3.707.679.515.601.330;26.334.199.887.174.400;49.318.021.624.931
gharrison@davis.com;04140 Cameron Brooks Apt. 724;;;;;;
South Laurenberg;" HI 08562""";MediumSpringGreen;33.177.204.666.060.300;11.622.777.173.031.100;3.596.889.569.049.670;3.634.093.727.357.590;5.012.091.726.816.530
alexandermichael@hotmail.com;2086 Lisa View;;;;;;
Ortegabury;" MI 43544""";WhiteSmoke;3.269.323.953.887.120;12.600.750.401.563.900;3.737.011.822.360.150;34.670.140.660.097.000;50.192.826.487.324.400
christopher66@hotmail.com;388 Kelly Pike;;;;;;
West Jeffery;" DE 44039-7785""";BurlyWood;31.625.360.134.830.600;13.187.910.985.159.300;3.706.708.996.741.920;14.943.108.951.995.000;3.763.369.007.569.240
archeremily@baldwin.com;USCGC Hernandez;;;;;;
"FPO AE 53064""";YellowGreen;31.260.646.869.879.500;13.266.760.352.944.400;3.697.119.509.745.710;2.267.251.114.447.050;42.132.663.125.695.100;
hornesteven@gmail.com;91425 Roy Trail;;;;;;
Rivaston;" NE 34949-2588""";White;31.720.769.900.287.300;11.752.343.171.850.000;3.857.360.522.634.680;5.023.934.200.606.650;538.774.933.478.023
william28@gmail.com;16763 Melissa Creek Suite 367;;;;;;
North Keithland;" PW 29458""";Cyan;32.922.610.758.349.400;11.568.116.342.098.400;3.690.937.820.695.240;2.471.750.669.720.030;39.816.346.853.365.100
karenosborne@yahoo.com;81814 Pratt Squares Suite 460;;;;;;
North Robert;" GU 77741-1307""";SlateBlue;3.268.624.509.039.020;1.263.857.212.219.210;36.097.220.934.711;4.297.737.481.971.200;5.714.710.341.154.240
chansen@holt.com;2380 Fisher Neck Suite 233;;;;;;
Brianland;" AZ 34453-0625""";LightSkyBlue;3.405.094.675.856.060;11.388.644.575.171.400;3.908.156.474.568.160;24.369.588.757.864.600;4.516.286.105.401.990
hallthomas@lane.com;22630 Bell Centers Suite 030;;;;;;
North Danielport;" FM 31756""";DarkTurquoise;32.454.552.537.551.000;1.182.298.329.832.390;3.694.612.578.169.270;36.569.839.266.881.400;4.906.004.425.003.990
